ts_utc,ts_ny,symbol,source,spot,regime,net_gex,flip_level,spot_vs_flip_pct,iv30,rv20,vrp,n_candidates,n_positive_ev,best_ev,n_alerts
2026-08-10T13:34:24+00:00,2026-08-10T09:34:24-04:00,GLD,marketdata,398.495,long_gamma,301677127.0,381.4049,4.289,0.30611,0.2601,0.04601,60,5,44.81,1
2026-08-10T13:34:35+00:00,2026-08-10T09:34:35-04:00,QQQ,marketdata,723.03,long_gamma,604351245.0,715.5633,1.033,0.24619,0.26095,-0.01476,153,53,91.27,1
2026-08-10T13:44:45+00:00,2026-08-10T09:44:45-04:00,GLD,marketdata,398.495,long_gamma,301677127.0,381.4049,4.289,0.30611,0.2601,0.04601,60,5,44.81,0
2026-08-10T13:44:54+00:00,2026-08-10T09:44:54-04:00,QQQ,marketdata,723.03,long_gamma,604351245.0,715.5633,1.033,0.24619,0.26095,-0.01476,153,53,91.27,0
2026-08-10T13:55:04+00:00,2026-08-10T09:55:04-04:00,GLD,marketdata,398.495,long_gamma,301677127.0,381.4049,4.289,0.30611,0.2601,0.04601,60,5,44.81,0
2026-08-10T13:55:18+00:00,2026-08-10T09:55:18-04:00,QQQ,marketdata,723.03,long_gamma,604351245.0,715.5633,1.033,0.24619,0.26095,-0.01476,153,53,91.27,0
2026-08-10T14:05:31+00:00,2026-08-10T10:05:31-04:00,GLD,marketdata,398.495,long_gamma,301677127.0,381.4049,4.289,0.30611,0.2601,0.04601,60,5,44.81,0
2026-08-10T14:05:39+00:00,2026-08-10T10:05:39-04:00,QQQ,marketdata,723.03,long_gamma,604351245.0,715.5633,1.033,0.24619,0.26095,-0.01476,153,53,91.27,0
2026-08-10T14:15:49+00:00,2026-08-10T10:15:49-04:00,GLD,marketdata,398.495,long_gamma,301677127.0,381.4049,4.289,0.30611,0.2601,0.04601,60,5,44.81,0
2026-08-10T14:15:58+00:00,2026-08-10T10:15:58-04:00,QQQ,marketdata,723.03,long_gamma,604351245.0,715.5633,1.033,0.24619,0.26095,-0.01476,153,53,91.27,0
2026-08-10T14:26:29+00:00,2026-08-10T10:26:29-04:00,GLD,marketdata,398.495,long_gamma,301677127.0,381.4049,4.289,0.30611,0.2601,0.04601,60,5,44.81,0
2026-08-10T14:26:38+00:00,2026-08-10T10:26:38-04:00,QQQ,yahoo,723.63,long_gamma,1352717313.0,720.4444,0.44,0.21064,0.25111,-0.04047,152,4,9.36,1
2026-08-10T14:36:43+00:00,2026-08-10T10:36:43-04:00,GLD,yahoo,398.56,long_gamma,362865059.0,385.3547,3.313,0.23369,0.23635,-0.00265,107,3,38.51,1
2026-08-10T14:36:46+00:00,2026-08-10T10:36:46-04:00,QQQ,yahoo,724.34,long_gamma,1635116167.0,720.1706,0.576,0.20944,0.25114,-0.0417,150,13,9.48,0
2026-08-10T14:46:53+00:00,2026-08-10T10:46:53-04:00,GLD,yahoo,399.06,long_gamma,360823740.0,383.1369,3.99,0.23912,0.23611,0.00301,112,3,44.08,1
2026-08-10T14:46:58+00:00,2026-08-10T10:46:58-04:00,QQQ,yahoo,724.15,long_gamma,1484094882.0,720.4023,0.518,0.20715,0.25113,-0.04398,152,11,8.54,0
